wavelength,k white,s white,k black,s black,k cobalt b,s cobalt b,k quinacridone Magenta,s quinacridone Magenta,k phthalo blue (green shade),s phthalo blue (green shade),k hansa Yellow,s hansa Yellow,k phthalo Green,s phthalo Green,k pyrrole Red,s pyrrole Red,k ultramarine Blue,s ultramarine Blue,k dioxazine Purple,s dioxazine Purple,k pyrrole Orange,s pyrrole Orange
380,0.89,1,2.55,0.30,0.00,0.03,0.06,0.03,0.50,0.11,0.60,0.06,0.8549,0.09,0.3500,0.02,0.0071,0.0045,0.3031,0.0235,0.0500,0.01
390,0.36,1,2.70,0.35,0.00,0.03,0.06,0.03,0.35,0.09,0.66,0.08,0.8696,0.09,0.3873,0.02,0.0071,0.0045,0.2330,0.0174,0.1360,0.01
400,0.07,1,2.82,0.36,0.00,0.03,0.06,0.03,0.24,0.07,0.70,0.09,0.8197,0.09,0.4212,0.02,0.0071,0.0045,0.1927,0.0148,0.2000,0.01
410,0.01,1,2.92,0.35,0.00,0.03,0.06,0.02,0.17,0.05,0.74,0.09,0.7309,0.09,0.4585,0.02,0.0071,0.0045,0.1583,0.0119,0.2388,0.01
420,0.00,1,2.99,0.35,0.00,0.03,0.06,0.02,0.12,0.04,0.78,0.10,0.6442,0.08,0.5196,0.02,0.0071,0.0043,0.1353,0.0100,0.2749,0.02
430,0.00,1,3.03,0.35,0.00,0.03,0.07,0.02,0.09,0.03,0.83,0.10,0.5535,0.07,0.5772,0.03,0.0071,0.0042,0.1219,0.0087,0.3211,0.02
440,0.00,1,3.04,0.35,0.00,0.03,0.09,0.02,0.05,0.03,0.88,0.10,0.4587,0.06,0.6331,0.03,0.0064,0.0042,0.1194,0.0079,0.3675,0.02
450,0.00,1,3.10,0.36,0.00,0.03,0.11,0.02,0.03,0.02,0.93,0.10,0.3510,0.05,0.6854,0.03,0.0065,0.0041,0.1325,0.0081,0.4152,0.02
460,0.00,1,3.15,0.36,0.00,0.03,0.14,0.02,0.03,0.02,0.96,0.10,0.2296,0.04,0.7356,0.04,0.0081,0.0039,0.1623,0.0092,0.4566,0.03
470,0.00,1,3.19,0.37,0.01,0.03,0.18,0.02,0.03,0.01,1.00,0.11,0.1295,0.03,0.7819,0.04,0.0125,0.0038,0.2115,0.0116,0.4889,0.03
480,0.00,1,3.23,0.37,0.01,0.03,0.24,0.02,0.04,0.01,1.01,0.12,0.0713,0.03,0.8182,0.04,0.0213,0.0037,0.2999,0.0157,0.5248,0.03
490,0.00,1,3.28,0.37,0.01,0.03,0.32,0.03,0.05,0.01,0.88,0.16,0.0445,0.02,0.8476,0.04,0.0372,0.0039,0.4645,0.0223,0.5731,0.04
500,0.00,1,3.31,0.37,0.01,0.03,0.40,0.03,0.07,0.01,0.47,0.30,0.0395,0.02,0.8830,0.05,0.0624,0.0044,0.6844,0.0299,0.6087,0.04
510,0.00,1,3.35,0.38,0.02,0.02,0.49,0.03,0.10,0.01,0.13,0.42,0.0462,0.01,0.9180,0.05,0.0988,0.0052,0.9357,0.0391,0.6152,0.04
520,0.00,1,3.42,0.38,0.04,0.02,0.68,0.04,0.16,0.01,0.03,0.43,0.0615,0.01,0.9489,0.05,0.1460,0.0063,1.2617,0.0559,0.6444,0.05
530,0.00,1,3.46,0.39,0.08,0.02,0.90,0.06,0.26,0.01,0.01,0.43,0.0870,0.01,0.9559,0.05,0.2022,0.0077,1.5366,0.0719,0.6930,0.06
540,0.00,1,3.51,0.40,0.12,0.01,0.95,0.06,0.42,0.01,0.00,0.43,0.1292,0.01,0.9932,0.05,0.2632,0.0087,1.6149,0.0786,0.7016,0.07
550,0.00,1,3.53,0.40,0.15,0.01,0.89,0.06,0.66,0.02,0.00,0.43,0.1983,0.01,1.0728,0.07,0.3225,0.0105,1.6295,0.0823,0.5441,0.09
560,0.00,1,3.56,0.40,0.17,0.01,0.88,0.07,1.00,0.03,0.00,0.43,0.3026,0.01,1.1327,0.08,0.3793,0.0123,1.7033,0.0957,0.2434,0.11
570,0.00,1,3.61,0.41,0.21,0.01,0.78,0.07,1.38,0.04,0.00,0.43,0.4525,0.02,1.1190,0.11,0.4299,0.0137,1.6986,0.1106,0.0703,0.13
580,0.00,1,3.65,0.41,0.24,0.01,0.47,0.06,1.69,0.06,0.00,0.43,0.6778,0.02,0.9125,0.14,0.4724,0.0145,1.4788,0.1116,0.0185,0.14
590,0.00,1,3.71,0.42,0.25,0.02,0.20,0.04,1.92,0.08,0.00,0.43,1.0099,0.04,0.3441,0.29,0.4996,0.0150,1.1527,0.0945,0.0053,0.14
600,0.00,1,3.74,0.42,0.25,0.02,0.08,0.03,2.14,0.11,0.00,0.43,1.4437,0.07,0.0764,0.34,0.5161,0.0158,0.9408,0.0734,0.0016,0.14
610,0.00,1,3.80,0.43,0.24,0.02,0.03,0.02,2.33,0.14,0.00,0.43,1.8510,0.10,0.0217,0.31,0.5208,0.0153,0.9395,0.0648,0.0007,0.14
620,0.00,1,3.84,0.44,0.25,0.02,0.02,0.02,2.46,0.17,0.00,0.43,2.1114,0.14,0.0075,0.28,0.5100,0.0163,1.0812,0.0704,0.0004,0.14
630,0.00,1,3.89,0.44,0.25,0.02,0.01,0.02,2.53,0.19,0.00,0.43,2.2605,0.17,0.0030,0.24,0.4900,0.0156,1.1201,0.0809,0.0004,0.14
640,0.00,1,3.91,0.44,0.20,0.02,0.00,0.01,2.56,0.21,0.00,0.43,2.3523,0.1974,0.0014,0.21,0.4548,0.0156,0.8946,0.0833,0.0004,0.13
650,0.00,1,3.99,0.46,0.13,0.03,0.00,0.01,2.50,0.23,0.00,0.43,2.4348,0.2380,0.0009,0.17,0.4104,0.0159,0.5818,0.0722,0.0004,0.12
660,0.00,1,4.08,0.47,0.07,0.04,0.00,0.01,2.37,0.21,0.00,0.43,2.3985,0.2602,0.0006,0.15,0.3566,0.0149,0.3323,0.0555,0.0004,0.10
670,0.00,1,4.12,0.47,0.03,0.04,0.00,0.01,2.32,0.21,0.00,0.43,2.2324,0.2603,0.0005,0.13,0.2956,0.0142,0.1811,0.0427,0.0004,0.09
